station_id,valid_points,initial_year,final_year,total_years,lat,lon,seasonal_coverage
ALE-05AA809P,2528,2005.0,2014.0,10,49.36109924316406,-114.51580047607422,0.8674033149171271
ALE-05BB803P,3163,2002.0,2012.0,11,51.08333206176758,-115.78333282470703,0.8901098901098901
ALE-05BF824P,2801,2001.0,2010.0,10,50.63138961791992,-115.2794418334961,0.9447513812154696
ALE-05BJ805P,6544,2001.0,2023.0,23,50.705528259277344,-114.98994445800781,0.9060773480662984
ALE-05BL812P,6491,2001.0,2023.0,23,50.48591613769531,-114.9130859375,0.8729281767955801
ALE-05CA805P,3933,2010.0,2023.0,14,51.54055404663086,-116.05638885498047,0.9668508287292817
ALE-05DB802P,6629,2001.0,2023.0,23,51.894195556640625,-115.38346862792969,0.8784530386740331
ALE-05DD804P,5082,2007.0,2023.0,17,52.670833587646484,-117.22555541992188,0.9723756906077348
BCE-1A01P,3986,2001.0,2012.0,12,52.906219482421875,-118.54750061035156,0.9834254143646409
BCE-1A02P,3757,2011.0,2023.0,13,53.3060417175293,-120.31925964355469,0.9171270718232044
BCE-1A03P,4176,2010.0,2023.0,14,53.05733871459961,-121.49182891845703,0.9226519337016574
BCE-1A17P,3936,2010.0,2023.0,14,53.78422164916992,-120.37519836425781,0.9723756906077348
BCE-1A19P,5393,2006.0,2023.0,18,53.62694549560547,-121.0169448852539,0.8784530386740331
BCE-1B01P,7715,2001.0,2023.0,23,53.72861099243164,-126.42361450195312,0.8956043956043956
BCE-1B02P,3932,2001.0,2011.0,11,53.593055725097656,-127.64389038085938,0.9171270718232044
BCE-1B08P,5179,2008.0,2023.0,16,53.15250015258789,-126.88111114501953,0.8516483516483516
BCE-1C12P,4521,2011.0,2023.0,13,50.795631408691406,-122.92454528808594,0.9723756906077348
BCE-1C18P,5008,2008.0,2023.0,16,50.76255416870117,-122.20769500732422,0.861878453038674
BCE-1C20P,4204,2011.0,2023.0,13,52.10689926147461,-120.86727142333984,0.8895027624309392
BCE-1C41P,6922,2001.0,2023.0,23,52.832008361816406,-121.35563659667969,0.9502762430939227
BCE-1D06P,3719,2001.0,2011.0,11,50.536251068115234,-122.92996215820312,0.9447513812154696
BCE-1D09P,3451,2014.0,2023.0,10,49.232749938964844,-121.57987976074219,0.9668508287292817
BCE-1D17P,3187,2010.0,2020.0,11,49.03333282470703,-121.71666717529297,0.8956043956043956
BCE-1D19P,3407,2008.0,2019.0,12,49.660831451416016,-121.66083526611328,0.861878453038674
BCE-1E08P,4055,2001.0,2013.0,13,52.595916748046875,-119.72269439697266,0.9060773480662984
BCE-1E10P,3641,2011.0,2023.0,13,52.20333480834961,-120.0169448852539,0.850828729281768
BCE-1F03P,4149,2005.0,2016.0,12,50.44961166381836,-118.61856079101562,0.9723756906077348
BCE-1F06P,5318,2007.0,2023.0,17,51.40666580200195,-118.99972534179688,0.8729281767955801
BCE-2A06P,3717,2013.0,2023.0,11,51.03634262084961,-118.15160369873047,0.9779005524861878
BCE-2A21P,4950,2001.0,2014.0,14,52.22055435180664,-118.225830078125,0.9171270718232044
BCE-2B06P,7812,2001.0,2023.0,23,50.06855392456055,-118.35111999511719,0.9010989010989011
BCE-2B08P,8023,2001.0,2023.0,23,50.434173583984375,-117.70121765136719,0.8901098901098901
BCE-2C09Q,2768,2014.0,2023.0,10,49.44722366333008,-114.9749984741211,0.9505494505494505
BCE-2C10P,6975,2001.0,2023.0,23,49.25149917602539,-115.7739028930664,0.8846153846153846
BCE-2C14P,6386,2005.0,2023.0,19,51.05991744995117,-116.13711547851562,0.8626373626373627
BCE-2D08P,5397,2008.0,2023.0,16,50.63959884643555,-116.92973327636719,0.8681318681318682
BCE-2D14P,6650,2002.0,2023.0,22,49.69007873535156,-117.08650207519531,0.8571428571428571
BCE-2E07P,5889,2001.0,2019.0,19,49.551971435546875,-118.67729949951172,0.8901098901098901
BCE-2F05P,6667,2001.0,2022.0,22,49.944671630859375,-118.94969940185547,0.9116022099447514
BCE-2G03P,2727,2014.0,2023.0,10,49.094139099121094,-120.77249908447266,0.9560439560439561
BCE-3A24P,6441,2001.0,2023.0,23,51.77616882324219,-124.6218032836914,0.8674033149171271
BCE-3B17P,3788,2001.0,2011.0,11,49.704139709472656,-125.67925262451172,0.8901098901098901
BCE-3B23P,4822,2001.0,2014.0,14,48.969505310058594,-124.27618408203125,0.8846153846153846
BCE-4A02P,5485,2001.0,2016.0,16,55.35300064086914,-122.63733673095703,0.8895027624309392
BCE-4A09P,5412,2001.0,2016.0,16,57.548583984375,-126.7483139038086,0.850828729281768
BCE-4A27P,3821,2001.0,2011.0,11,57.62333297729492,-125.07316589355469,0.8956043956043956
BCE-4B15P,3478,2011.0,2023.0,13,54.19683074951172,-126.3041000366211,0.9171270718232044
BCE-4B16P,5525,2005.0,2023.0,19,55.86165237426758,-127.69841766357422,0.9447513812154696
BCE-4B17P,3676,2011.0,2023.0,13,54.645904541015625,-127.67427062988281,0.9668508287292817
YT-09DB-M1,7775,2001.0,2023.0,23,63.98025894165039,-132.2977752685547,0.9285714285714286
YT-29AB-M3,4869,2010.0,2023.0,14,60.52227020263672,-134.9527587890625,0.9558011049723757
